#MJD	Us	B	V	R	H	K
54589.4	21.49±0.07	20.86±0.03	19.46±0.04	18.47±0.03	-	-
54590.4	21.52±0.08	20.91±0.03	-	18.48±0.03	-	-
54652.4	22.72±0.07	22.27±0.03	21.16±0.04	20.03±0.04	-	-
54792.1	-	23.59±0.05	22.50±0.05	-	-	-
54793.1	-	23.58±0.06	22.56±0.05	-	-	-
54794.1	-	23.45±0.05	22.45±0.05	-	-	-
54795.1	-	23.54±0.06	22.60±0.05	-	-	-
54915.5	<24.1	<25.6	<24.8	23.10±0.07	-	-
55124.1	<25.2	<25.9	<25.7	<25.1	-	-
55126.1	<24.9	<25.9	<25.6	<25.1	-	-
55182.0	-	-	-	-	20.31±0.14	-
55272.5	-	-	-	-	<21.4	19.23±0.09
55237.5	<24.6	<25.3	<25.4	<24.9	-	-
55333.4	-	-	-	-	-	20.27±0.15
