#MJD	B	V	R	I
55967.25	18.407 0.156	17.46 0.08	17.23 0.10	-
55973.15	17.77 0.04	16.74 0.03	16.44 0.04	16.00 0.04
55974.19	17.65 0.03	16.77 0.02	16.36 0.02	16.00 0.02
55978.15	17.88 0.04	16.76 0.01	16.29 0.02	15.85 0.02
55980.13	18.15 0.06	16.78 0.03	16.35 0.02	15.76 0.02
55980.17	-	-	16.36 0.04	-
55981.15	18.32 0.08	16.90 0.03	16.35 0.03	15.75 0.04
55982.14	18.32 0.07	16.94 0.04	16.43 0.04	15.77 0.06
55983.14	18.39 0.07	16.98 0.03	16.44 0.02	15.78 0.02
55990.14	18.97 0.18	17.56 0.06	16.81 0.04	16.10 0.02
55990.18	-	-	16.81 0.08	-
55991.14	18.91 0.10	17.65 0.05	16.94 0.04	16.18 0.05
55992.16	19.12 0.28	17.63 0.07	16.96 0.04	16.27 0.04
55993.14	18.95 0.22	17.80 0.07	17.02 0.05	16.21 0.05
55994.15	19.16 0.29	17.89 0.13	17.14 0.08	16.29 0.05
55995.16	19.55 0.18	17.93 0.06	17.11 0.03	16.31 0.03
55996.15	19.51 0.13	17.92 0.05	17.20 0.03	16.41 0.03
55998.19	19.40 0.19	18.06 0.14	-	16.51 0.06
