SNLS-03D1ge	02 24 06.043	-04 23 19.14	0.54	52993	SN?	4.208	Probable SN Ia
SNLS-04D2lu	10 01 09.465	+02 32 14.52	0.37	53353	SN?	3.741	Probable SN Ia
SNLS-04D2lx	10 01 17.159	+01 42 50.97	0.50	53353	SN?	2.031	Probable SN Ia
SNLS-04D3ht	14 16 17.101	+52 19 28.40	0.53	53135	SN?	3.129	Probable SN Ia
SNLS-05D3ba	14 18 26.790	+52 41 50.56	0.44	53387	SN?	2.323	Probable SN Ia
SNLS-05D3lc	14 22 22.902	+52 28 44.11	0.49	53519	SN	2.027	Probable SN Ia
SNLS-05D3lx	14 17 56.809	+52 20 23.26	0.58	53532	SN?	3.102	Probable SN Ia
SNLS-03D4bx	22 14 48.602	-17 31 17.58	0.54	52843	SN?	2.089	Probable SN Ia
SNLS-03D4ev	22 16 51.395	-17 20 02.37	0.53	52914	SN?	2.591	Probable SN Ia
SNLS-04D4cm	22 13 28.782	-18 03 40.56	0.55	53177	SN?	3.928	Probable SN Ia
SNLS-04D4et	22 14 51.788	-17 47 22.86	0.58	53204	SN?	1.558	Probable SN Ia
SNLS-04D4iy	22 17 07.977	-18 07 07.18	0.51	53267	SN?	2.801	Probable SN Ia
SNLS-04D1fh	02 26 59.401	-04 29 42.41	0.56	53235	SN?	5.762	Possible SN Ia
SNLS-04D1qn	02 27 28.186	-04 20 35.78	0.52	53323	SN?	6.400	Possible SN Ia
SNLS-04D1qr	02 25 49.083	-04 29 00.23	0.58	53323	SN?	5.135	Possible SN Ia
SNLS-04D1sc	02 26 34.371	-04 02 45.60	0.59	53351	SN?	6.038	Possible SN Ia
SNLS-05D3bz	14 17 50.119	+52 51 24.16	0.52	53410	SN?	5.499	Possible SN Ia
SNLS-05D3ch	14 19 09.668	+52 47 35.93	0.35	53416	SN?	5.553	Possible SN Ia
SNLS-04D4ay	22 15 54.038	-18 02 48.95	0.58	53174	SN?	5.064	Possible SN Ia
