# Filter	JD	Mag	dMag
U	2454007.60600	16.978	0.036
U	2454007.61000	16.962	0.037
U	2454009.66600	16.390	0.034
U	2454009.67000	16.415	0.034
U	2454011.60300	16.073	0.034
U	2454011.60700	16.095	0.034
U	2454012.61000	15.908	0.034
U	2454012.61300	15.939	0.033
U	2454016.59700	15.703	0.034
U	2454016.60100	15.732	0.033
U	2454016.61700	15.694	0.033
U	2454016.62000	15.711	0.034
U	2454019.58900	15.758	0.033
U	2454019.09300	15.752	0.032
U	2454019.60900	15.772	0.033
U	2454019.61200	15.751	0.033
U	2454021.58300	15.837	0.032
U	2454021.58700	15.840	0.033
U	2454025.60300	16.061	0.034
U	2454025.60700	16.031	0.034
U	2454043.57800	17.874	0.076
U	2454046.60100	18.131	0.104
U	2454052.64100	18.608	0.116
U	2454055.60100	18.924	0.119
U	2454056.60600	18.943	0.152
U	2454066.57800	19.680	0.196
B	2454007.60200	17.583	0.018
B	2454009.66300	17.011	0.017
B	2454012.60600	16.501	0.016
B	2454019.60500	16.059	0.014
B	2454021.57900	16.064	0.015
B	2454025.59900	16.127	0.013
B	2454031.57700	16.460	0.015
B	2454034.59600	16.715	0.014
B	2454046.59400	17.693	0.050
B	2454052.63300	18.312	0.026
B	2454054.58600	18.521	0.026
B	2454055.59800	18.575	0.034
B	2454056.59900	18.573	0.031
B	2454062.57900	18.825	0.032
B	2454066.57500	19.003	0.063
B	2454071.56100	19.157	0.158
V	2454007.59900	17.447	0.018
V	2454009.66000	16.923	0.017
V	2454011.59600	16.552	0.012
V	2454012.60300	16.420	0.012
V	2454016.59100	16.098	0.013
V	2454016.61000	16.105	0.014
V	2454019.58200	16.015	0.014
V	2454019.60200	16.006	0.013
V	2454021.57600	15.971	0.013
V	2454025.59600	15.986	0.012
V	2454031.57400	16.113	0.011
V	2454034.59300	16.212	0.013
V	2454042.56700	16.573	0.014
V	2454043.56800	16.621	0.018
V	2454045.56700	16.753	0.014
V	2454046.59100	16.813	0.018
V	2454052.63000	17.145	0.017
V	2454054.58300	17.236	0.015
V	2454055.59500	17.236	0.018
V	2454056.59500	17.304	0.019
V	2454062.57600	17.583	0.019
V	2454063.57400	17.596	0.031
V	2454066.57200	17.768	0.024
V	2454070.57100	17.960	0.047
V	2454071.55800	18.045	0.052
r'	2454007.59700	17.446	0.014
r'	2454009.65700	16.943	0.013
r'	2454011.59400	16.588	0.012
r'	2454012.60100	16.451	0.013
r'	2454016.58800	16.171	0.017
r'	2454016.60800	16.141	0.015
r'	2454019.58000	16.047	0.017
r'	2454019.60000	16.032	0.014
r'	2454021.57400	15.972	0.013
r'	2454025.59400	15.964	0.011
r'	2454043.56600	16.409	0.013
r'	2454045.56500	16.487	0.014
r'	2454046.58800	16.537	0.015
r'	2454052.62800	16.726	0.013
r'	2454054.58000	16.802	0.013
r'	2454055.59200	16.848	0.015
r'	2454056.59300	16.864	0.015
r'	2454066.56900	17.350	0.016
r'	2454071.55500	17.530	0.037
i'	2454007.59500	17.504	0.016
i'	2454009.65500	17.054	0.015
i'	2454011.59200	16.747	0.024
i'	2454012.59800	16.669	0.014
i'	2454016.58600	16.434	0.036
i'	2454016.60500	16.390	0.014
i'	2454019.57800	16.320	0.020
i'	2454019.59700	16.326	0.015
i'	2454021.57200	16.310	0.016
i'	2454025.59200	16.282	0.013
i'	2454025.61400	16.249	0.021
i'	2454043.56300	16.600	0.017
i'	2454045.56300	16.629	0.014
i'	2454046.58600	16.648	0.016
i'	2454052.62500	16.717	0.016
i'	2454054.57800	16.755	0.014
i'	2454055.59000	16.826	0.018
i'	2454056.59100	16.796	0.016
i'	2454066.56700	17.221	0.019
i'	2454069.57000	17.392	0.029
i'	2454071.55300	17.527	0.061
