MJD	B_SM	VR_SM	I_SM	I_OGLE
52959.29126	-	-	-	<22.30
52964.27804	-	<24.19	-	-
52966.28245	-	<24.01	-	-
52970.30195	-	<24.16	-	-
52972.29799	-	24.22 (0.43)	-	-
52974.25935	-	23.46 (0.19)	-	-
52976.26257	-	22.50 (0.09)	-	-
52979.64149	-	-	-	<21.05
52982.71623	-	-	-	<19.80
52985.24459	-	20.95 (0.03)	-	-
52986.27416	-	20.81 (0.03)	-	-
52988.68744	-	-	-	20.21 (0.18)
52988.28817	-	20.24 (0.02)	-	-
52990.25875	-	19.83 (0.02)	-	-
52992.29069	-	19.82 (0.03)	-	-
52992.73489	-	-	-	19.65 (0.10)
52994.31115	-	19.81 (0.02)	-	-
52996.28857	-	19.87 (0.02)	-	-
52997.44242	-	-	-	19.77 (0.09)
52998.25951	-	19.95 (0.02)	-	-
53000.31187	-	20.03 (0.02)	-	-
53001.72660	-	-	-	19.83 (0.08)
53004.32118	-	20.12 (0.02)	-	-
53011.28573	-	-	-	19.92 (0.10)
53019.31815	-	20.23 (0.02)	-	-
53029.29812	-	-	-	19.90 (0.04)
53052.97253	-	-	-	19.91 (0.05)
53077.45696	-	-	-	20.02 (0.05)
53106.03597	-	-	-	20.53 (0.07)
53257.38920	-	22.02 (0.05)	-	-
53268.26639	23.15 (0.17)	-	-	-
53268.27047	-	-	21.15 (0.06)	-
53285.33774	-	-	-	21.05 (0.07)
53289.21636	-	22.22 (0.06)	-	-
53295.33515	-	22.08 (0.06)	-	-
53297.22518	-	22.18 (0.06)	-	-
53299.36194	-	22.15 (0.06)	-	-
53299.36544	23.34 (0.40)	-	-	-
53299.36742	-	-	21.13 (0.10)	-
53315.28817	-	22.08 (0.06)	-	-
53325.24440	-	22.12 (0.06)	-	-
53329.29664	-	22.17 (0.06)	-	-
53331.34066	-	22.11 (0.06)	-	-
53348.18819	-	22.20 (0.06)	-	-
53350.32545	-	22.17 (0.07)	-	-
53352.23171	-	22.21 (0.06)	-	-
53354.23758	-	22.18 (0.06)	-	-
53356.25495	-	22.16 (0.07)	-	-
53404.63460	-	-	-	21.30 (0.12)
53414.22055	-	22.11 (0.06)	-	-
53639.30253	-	22.77 (0.10)	-	-
53641.33128	-	22.60 (0.12)	-	-
53649.38498	-	22.68 (0.11)	-	-
53652.32054	-	22.81 (0.11)	-	-
53654.22569	-	22.68 (0.10)	-	-
53663.32678	-	-	-	21.24 (0.08)
53684.22316	-	22.67 (0.09)	-	-
53704.30592	-	22.65 (0.09)	-	-
53706.22709	-	22.56 (0.10)	-	-
53712.35217	-	22.69 (0.12)	-	-
53714.35882	-	22.69 (0.29)	-	-
53733.16559	-	22.62 (0.08)	-	-
53738.16874	-	22.71 (0.09)	-	-
53777.61556	-	-	-	21.39 (0.10)
54006.82171	-	-	-	21.87 (0.20)
54127.67356	-	-	-	21.46 (0.14)
54402.73904	-	-	-	22.26 (0.22)
54502.13612	-	-	-	22.47 (0.23)
54674.41064	-	23.82 (0.41)	-	-
54674.42468	-	-	22.61 (0.45)	-
54704.35730	-	24.19 (0.20)	-	-
54704.37563	-	-	22.59 (0.15)	-
