JD	Y	J	H	Instrument
2453777.78	17.306	.029	17.053	.048	16.919	.063	Retrocam
2453779.79	17.283	.038	17.002	.039	16.819	.062	Retrocam
2453788.86	17.059	.012	16.862	.018	16.713	.027	WIRC
2453797.75	16.994	.035	16.659	.035	16.502	.056	RetroCam
2453803.84	16.767	.027	-	-	-	-	RetroCam
2453810.79	16.648	.024	16.450	.030	16.245	.047	RetroCam
2453817.71	16.600	.027	16.361	.026	16.087	.024	RetroCam
2453826.68	16.538	.019	16.275	.020	16.096	.031	RetroCam
2453834.74	16.569	.010	16.343	.016	16.193	.030	WIRC
2453844.65	16.723	.012	16.514	.039	16.261	.026	WIRC
2453852.64	16.971	.027	16.692	.035	16.450	.056	RetroCam
2453863.59	17.261	.050	17.148	.063	-	-	RetroCam
2453869.64	17.428	.038	17.209	.048	16.853	.061	RetroCam
