#MJD	U	B	V	R	I
56374.58	16.69(04)	16.90(05)	16.41(04)	15.86(02)	15.48(05)	LJT
56375.74	16.80(08)	16.90(07)	16.38(06)	15.78(07)	15.41(05)	LJT
56379.65	17.07(07)	16.94(06)	16.37(03)	15.73(03)	15.31(07)	LJT
56381.69	17.13(06)	17.00(06)	16.36(04)	15.67(07)	15.18(07)	LJT
56383.73	17.25(07)	17.03(05)	16.36(03)	15.64(03)	15.18(03)	LJT
56384.73	17.33(05)	17.18(05)	16.38(04)	15.62(03)	15.14(06)	LJT
56391.58	17.96(06)	17.50(05)	16.41(04)	15.61(04)	15.08(07)	LJT
56398.55	-	17.70(06)	16.48(04)	15.65(05)	15.03(06)	LJT
56422.54	-	18.39(09)	16.51(04)	15.63(04)	14.89(03)	TNT
56424.55	-	18.40(14)	16.54(08)	15.69(07)	14.90(03)	TNT
56437.65	-	18.62(06)	16.65(03)	15.73(03)	14.90(04)	LJT
56441.54	-	18.65(11)	16.61(07)	15.66(04)	14.92(05)	TNT
56442.54	-	18.71(13)	16.63(09)	15.60(07)	14.90(07)	TNT
56444.54	-	-	16.65(06)	15.65(02)	14.89(05)	TNT
56446.52	-	-	16.67(03)	15.66(03)	14.94(03)	TNT
56456.54	-	18.89(11)	16.80(06)	15.86(06)	15.02(05)	LJT
56480.40	-	-	18.30(03)	17.22(13)	16.41(09)	LJT
56602.89	-	-	20.64(05)	19.12(15)	17.81(08)	LJT
56660.95	-	-	20.88(05)	19.38(06)	18.12(06)	LJT
56665.85	-	-	20.91(13)	19.41(08)	18.14(07)	LJT
56687.94	-	-	20.98(10)	19.47(10)	18.21(08)	LJT
56715.74	-	-	-	19.55(15)	18.45(12)	LJT
#MJD	g	r	i
56373.85	16.70(07)	16.14(05)	16.02(03)	LT
56378.87	16.70(09)	15.94(02)	15.79(07)	LT
56380.96	16.70(06)	15.97(01)	15.78(01)	LT
56383.87	16.71(07)	15.90(04)	15.70(04)	LT
56394.00	17.11(10)	16.07(04)	15.74(04)	LT
56395.91	17.14(06)	16.08(02)	15.73(04)	LT
56399.92	17.16(07)	16.06(01)	15.60(01)	LT
56409.90	17.26(05)	16.07(03)	15.61(02)	LT
56422.93	17.43(06)	16.05(03)	15.54(04)	LT
56430.88	17.53(05)	16.07(01)	15.51(05)	LT
56455.93	17.80(07)	16.25(03)	15.70(03)	LT
56462.91	17.87(06)	16.28(04)	15.76(02)	LT
56588.26	-	18.78(04)	18.28(07)	LT
56593.26	-	18.84(06)	18.30(04)	LT
56644.28	-	19.26(08)	18.62(07)	LT
56653.24	-	19.43(06)	18.68(06)	LT
