#JD	U	B	V	R	I
2456121.28	14.863 ± 0.030	15.447 ± 0.013	15.378 ± 0.011	15.271 ± 0.006	15.182 ± 0.028
2456123.30	14.383 ± 0.038	15.021 ± 0.024	14.962 ± 0.011	14.892 ± 0.026	14.835 ± 0.027
2456125.28	14.257 ± 0.060	14.747 ± 0.008	14.706 ± 0.015	14.667 ± 0.016	14.640 ± 0.010
2456126.31	14.071 ± 0.024	14.660 ± 0.020	14.602 ± 0.014	14.574 ± 0.019	14.578 ± 0.026
2456128.30	13.969 ± 0.033	14.498 ± 0.017	14.443 ± 0.020	14.436 ± 0.019	14.438 ± 0.026
2456132.26	13.954 ± 0.027	14.386 ± 0.013	14.312 ± 0.013	14.285 ± 0.015	14.343 ± 0.010
2456136.30	14.070 ± 0.037	14.429 ± 0.010	14.306 ± 0.006	14.248 ± 0.013	14.307 ± 0.014
2456138.26	-	14.499 ± 0.024	14.338 ± 0.028	14.274 ± 0.025	14.318 ± 0.022
2456143.24	14.567 ± 0.178	14.862 ± 0.038	14.425 ± 0.019	14.356 ± 0.028	14.320 ± 0.012
2456159.22	-	16.490 ± 0.015	15.202 ± 0.007	14.823 ± 0.013	14.397 ± 0.021
2456160.16	-	16.598 ± 0.028	15.259 ± 0.022	14.843 ± 0.011	14.465 ± 0.014
2456185.18	-	17.485 ± 0.012	16.199 ± 0.015	15.836 ± 0.016	15.359 ± 0.009
2456186.13	17.465 ± 0.044	17.505 ± 0.018	16.257 ± 0.010	15.884 ± 0.014	15.398 ± 0.015
2456187.13	17.522 ± 0.026	17.546 ± 0.017	16.283 ± 0.019	15.915 ± 0.014	15.415 ± 0.009
2456195.07	-	17.823 ± 0.023	16.573 ± 0.019	16.261 ± 0.013	15.794 ± 0.024
2456196.06	17.849 ± 0.047	17.815 ± 0.064	16.596 ± 0.018	16.301 ± 0.031	15.864 ± 0.035
2456201.10	-	17.964 ± 0.030	16.806 ± 0.013	16.521 ± 0.013	16.085 ± 0.015
2456202.07	-	17.962 ± 0.026	16.815 ± 0.022	16.533 ± 0.020	16.142 ± 0.008
2456203.06	18.043 ± 0.042	17.985 ± 0.014	16.846 ± 0.015	16.553 ± 0.012	16.160 ± 0.016
2456214.06	-	18.281 ± 0.016	17.306 ± 0.011	17.102 ± 0.013	16.704 ± 0.017
2456218.04	-	18.422 ± 0.014	17.451 ± 0.016	17.256 ± 0.017	16.886 ± 0.011
2456220.08	-	18.495 ± 0.014	17.540 ± 0.012	17.343 ± 0.011	16.987 ± 0.017
2456228.04	-	18.687 ± 0.028	17.860 ± 0.016	17.707 ± 0.016	17.351 ± 0.022
2456231.05	-	18.742 ± 0.030	17.939 ± 0.020	17.792 ± 0.022	17.474 ± 0.016
2456242.05	-	18.968 ± 0.074	18.342 ± 0.027	18.200 ± 0.021	17.976 ± 0.026
