#Date	MJD	Phase	fg	fr	fi	fz
30-AUG-2013	56534.3	-25	1138 ± 77	1705 ± 94	1730 ± 181	1913 ± 231
3-SEP-2013	56538.3	-21	1112 ± 103	2063 ± 129	2234 ± 186	1845 ± 288
8-SEP-2013	56543.3	-16	1369 ± 104	2348 ± 148	2285 ± 198	2285 ± 277
12-SEP-2013	56547.2	-12	1373 ± 130	2329 ± 167	2433 ± 207	2376 ± 284
15-SEP-2013	56550.2	-9	±	2691 ± 413	2818 ± 380	2193 ± 389
24-SEP-2013	56559.2	0	2022 ± 388	3727 ± 363	3183 ± 346	3548 ± 295
28-SEP-2013	56563.2	4	1668 ± 97	3688 ± 133	3400 ± 187	3488 ± 241
2-OCT-2013	56567.2	8	1805 ± 141	3666 ± 166	3742 ± 209	3169 ± 261
10-OCT-2013	56575.2	16	1370 ± 108	3285 ± 137	3636 ± 192	3182 ± 230
14-OCT-2013	56579.1	20	1260 ± 243	3182 ± 223	3482 ± 259	2663 ± 295
25-OCT-2013	56590.3	31	886 ± 346	1782 ± 319	2924 ± 277	3163 ± 352
29-OCT-2013	56594.1	35	667 ± 146	1782 ± 187	2398 ± 267	2987 ± 366
6-NOV-2013	56602.1	43	344 ± 103	1698 ± 132	2326 ± 185	2433 ± 257
10-NOV-2013	56606.1	47	803 ± 426	1338 ± 418	2633 ± 510	1817 ± 634
13-NOV-2013	56609.1	50	-312 ± 276	970 ± 252	2672 ± 281	2726 ± 426
20-NOV-2013	56616.1	57	347 ± 195	1855 ± 239	1848 ± 307	1739 ± 331
1-DEC-2013	56627.0	68	184 ± 107	1306 ± 129	2032 ± 176	2322 ± 216
9-DEC-2013	56635.0	76	259 ± 208	1322 ± 178	1766 ± 225	2318 ± 304
19-DEC-2013	56645.1	86	302 ± 226	1305 ± 211	1697 ± 230	1808 ± 248
23-DEC-2013	56649.1	90	261 ± 136	956 ± 157	1667 ± 248	2038 ± 276
27-DEC-2013	56653.1	94	41 ± 156	1295 ± 174	1613 ± 201	1930 ± 248
3-JAN-2014	56660.0	101	252 ± 119	1000 ± 132	1736 ± 196	1993 ± 261
10-JAN-2014	56667.1	108	310 ± 343	1144 ± 364	1609 ± 408	1586 ± 387
18-JAN-2014	56675.0	116	-75 ± 236	717 ± 220	1290 ± 261	1863 ± 297
25-JAN-2014	56682.0	123	306 ± 158	992 ± 188	1382 ± 215	1254 ± 270
30-JAN-2014	56687.0	128	345 ± 188	523 ± 179	1518 ± 217	1404 ± 261
6-FEB-2014	56694.0	135	-346 ± 359	1459 ± 376	1602 ± 465	2443 ± 461
