#Name	Disc. Date	Spec Date	Type	Phase Spec	Spec $z$	Exp. Date	Notes 
PS15cbm	20150917.62	20151003	SN Ia	$>$20d	0.059	-17d	PESSTO 
PS15ckm	20151013.61	20151022	SN Ia	peak	0.080	+20d	SNIFS 
PS15cwm	20151015.61	-	(SN)	-	(0.22)	-	SDSS DR12 photo$-z$, association uncertain 
PS15ccw	20150917.63	-	(SN)	-	0.072	-	host $z$, SDSS DR12 
PS15cci	20150919.63	20150926	SN Ia	pre-peak	0.055	-1d	DBSP, SN1991T-like 
PS15ccx	20150919.63	20150927	SN Ia	15-20d	0.097	-25d	GCN18371 , LT+SPRAT 
PS15ccv	20150922.62	-	(SN)	-	0.071	-	host $z$, SDSS DR12 
PS15cel	20150923.63	20151012	SN II	$>20$d	0.057	-2d	PESSTO 
PS15cki	20150923.64	20151020	SN II	$>25$d	0.024	+6d	SNIFS 
PS15cej	20151002.62	20151010	SN Ia	peak	0.049	+8d	PESSTO
PS15cke	20151002.64	20151014	SN Ia	50d	0.030	-38d	SNIFS
PS15ckf	20151003.65	20151020	SN II	$>$15d	0.019	+13d	SNIFS 
PS15cwj	20151013.60	20151117	SN Ia	21d	0.135	+25d	PESSTO
PS15cwi	20151013.61	20151118	SN II	+30d	0.058	+32d	PESSTO 
PS15ckj	20151013.61	20151022	SN II	peak	0.020	+33d	SNIFS, in IC593 $z=0.02018$
PS15cko	20151013.62	20151025	SN II	post-peak	0.217	uncertain	SNIFS,PESSTO 
PS15cvz	20151013.62	-	(SN)	-	0.069	-	host $z$, SDSS DR12
PS15cvy	20151013.63	20151022	SN II	young	0.046	+ 33d	SNIFS 
PS15ckn	20151014.62	20151027	SN Ic	+7d	0.08	+23d	SNIFS 
PS15dfs	20151015.60	-	(SN)	-	(0.424)	-	Offset from host galaxy, SDSS DR12 photo$-z$ 
PS15cvv	20151015.62	-	(SN)	-	-	-	hostless
PS15cmr	20151015.62	20151027	SN Ia	+7d	0.093	+18d	SNIFS , host $z=0.093$ SDSS DR12
PS15cmq	20151015.62	20151117	SN II	+11d	0.065	+48d	PESSTO 
PS15cvx	20151015.62	-	(SN)	-	0.152		host spec$-z$ 2dFGRS 
PS15cwa	20151015.63	-	(SN)	-	-	-	3\farcs9 from host galaxy 
PS15cwk	20151015.63	-	(SN)	-	-	-	15\farcs4 from host galaxy 
PS15cms	20151017.62	20151024	SN Ia	peak	0.065	+22d	SNIFS
PS15cvw	20151018.61	-	(SN)	-	-	-	faint, $r=22.7$ host galaxy 
PS15cmp	20151019.58	-	(SN)	-	0.097	-	host $z$, SDSS DR12 
PS15crh	20151019.58	-	(SN)	-	-	-	faint, $r=21.9$ host galaxy 
PS15cwh	20151019.58	-	(SN)	old	0.028	-	host $z$, SDSS DR12, old 
PS15cri	20151021.60	-	(SN)	-	-	-	hostless 
PS15cwb	20151021.61	20151121	SN Ia	+20d	0.145	+30d	PESSTO 
PS15dgc	20151021.61	-	(SN)	-	0.056	-	Offset 6\farcs6 from host, spec$-z$ in NED 
PS15cwe	20151021.63	-	(SN)	-	-	-	hostless 
PS15crk	20151021.63	-	(SN)	-	-	-	6\farcs5 from host galaxy 
PS15dga	20151021.63	-	(SN)	-	-	-	Offset from host galaxy 
PS15dgb	20151021.63	-	(SN)	-	-	-	Offset from host galaxy in PS1 
PS15dfx	20151023.60	-	(SN)	-	-	-	Offset from host galaxy in PS1 
PS15cwg	20151023.61	-	(SN)	-	-	-	0\farcs7 from host galaxy 
PS15crj	20151023.62	-	(SN)	-	(0.41)	-	1\farcs9 from host galaxy, SDSS DR12 photo$-z$ 
PS15dfu	20151023.62	-	(SN)	-	0.0866	-	2\farcs7 from host galaxy SDSS DR12 spec$-z$ 
PS15dfw	20151024.60	-	(SN)	-	(0.113)	-	Offset from host galaxy SDSS, DR12 photo$-z$ 
PS15cwc	20151024.61	-	(SN)	-	-	-	hostless 
PS15cqx	20151024.61	-	(SN)	-	0.054	-	host $z$ from NED 
PS15dgd	20151024.61	-	(SN)	-	-	-	Offset 5\farcs6 from host
PS15cqw	20151025.60	-	(SN)	-	(0.22)	-	1\farcs9 from host galaxy, SDSS DR12 photo$-z$ 
PS15cwd	20151025.62	-	(SN)	-	-	-	5\farcs5 from host galaxy 
